token0,token1Price,token0Price,volumeToken1,volumeToken0,blockNumber,reserve0,token1,txCount,reserve1,createdAtTimestamp,exchange,liquidityUSD,id,volumeUSD
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002700511502074570706071763167569266,370.3002187666247722680665793530088,226813.539105734562041418,83039834.183853,10846571,123520386588653,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",3974,333568224723354971628979,1599678405,sushiv2,244878802.1766872145346110273141761,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,82328474.30370313570093135478985226
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002678060018539068312706427007199617,373.40462613885653336039327645624,261498.706598347443219117,95877175.181197,10848571,124944975323633,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",4495,334610142931572024834251,1599678405,uniswapv2,247470643.2628455352356097372675425,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,95052677.80552500059260955616850656
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002592998127522824046483633569245945,385.6539614840881970735205403018746,290160.421735531908555719,106788524.448333,10850571,90131748474756,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",5006,233711455025400460236229,1599678405,sushiv2,178586557.1022293543317628234486224,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,105876196.3115271770965815538194613
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002589708453437333718081201882078958,386.1438528621608793557853956279137,307212.048040520388639059,113364492.344654,10852571,62204815913016,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",5460,161092337614450711350044,1599678405,sushiv2,123505303.6924932494344572099706385,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,112400662.006472854767302001484922
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002765097729688688901459034673239756,361.6508701530003171626149133888611,324713.972205052966411059,119923459.925333,10854571,52398739534641,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",5864,144887635725784776298239,1599678405,sushiv2,104428356.9855927295328226770433159,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,118918551.2180390664122956122664819
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002804769341243480108329021257556061,356.5355572364660570143180574271781,330032.700643860002219382,121822536.570612,10855071,49770215846974,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",5988,139593975514663080370114,1599678405,uniswapv2,98814384.17984228818063886159640735,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,120806825.8815798514930810381777947
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002752201265784292123307224550030234,363.3455199778170913101554208718043,335847.149578333090903382,123920726.167542,10856571,53064364045216,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",6232,146043809893281955147210,1599678405,sushiv2,105637668.9785882876966983775942299,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,122889193.1340269616957165292421328
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002713442077636113570810379118917684,368.5355984717301575497782891589714,344442.672674397100285604,127052177.519025,10858571,41483367656151,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",6561,112562715320249124394621,1599678405,sushiv2,82013853.22857177227978755375785614,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,125997088.1360260738729254867584441
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002675480932160627186074567278253056,373.7645774183986027656476979765403,362607.546117514244825054,133709308.004308,10860571,47644793984396,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",6890,127472737821972852725888,1599678405,sushiv2,94163750.79997639597423534799848273,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,132579702.5414758424829316487338293
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002662929975893198557506706839425928,375.5262094958319478049217227242007,372370.399014280869915551,137381858.487736,10861571,61575633509800,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",7059,163971600257860143283515,1599678405,uniswapv2,121935047.1032391213576603593086125,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,136209004.5149225554144530585725952
