token0,volumeToken1,token0Price,token1Price,blockNumber,volumeToken0,reserve0,token1,txCount,reserve1,createdAtTimestamp,exchange,reserveUSD,id,volumeUSD
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",438057.345201064483187465,4242.758948923653448844355504052802,0.0002356956904784068026227795569011539,16520571,434008911.621625805155707477,18347569.088938805030546981,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",67091,4324.44296501770488319,1636037244,univ2,13764673.5784304079512281620613624,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,1570038786.862228474965233499499986
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",438130.651497345705114889,4353.842315388747705686028120671353,0.0002296821812920231078662212981010488,16522571,434325146.931324129111871957,18612138.174818058678187538,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",67131,4274.876494500745429238,1636037244,uniswapv2,13327351.39900240644357524899835079,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,1570153315.135641889819772089188555
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",438177.471767134093491959,4450.447423194014367854177018917668,0.0002246965091169004579485500045487047,16523071,434531856.33123684125082421,18818327.87339583877485637,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",67157,4228.412580569310094063,1636037244,uniswapv2,13210327.72519186545722215558804137,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,1570226240.790684142976443790969326
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",438270.868782154717803858,4468.270279969193469308534542329692,0.0002238002487188162013402004442484527,16524571,434951175.780111216411414706,18856606.815986098899448674,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",67203,4220.113295410613779882,1636037244,univ2,13256109.23977053903303117160272239,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,1570372863.719137485573661286796665
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",438393.754249212147116992,4270.569452203516106335504063981407,0.0002341608095107838334698966057204893,16526571,435486492.170119239991727736,18448387.288436975882184667,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",67260,4319.889301628856598611,1636037244,uniswapv2,13569561.69320990957016667193103096,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,1570565936.893690434328847247372276
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",438435.2771153773233657,4321.95032345653276670701608068612,0.000231377023139923028558488514279919,16527571,435664774.907303929058951996,18559303.938103393985729043,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",67283,4294.196496747413581571,1636037244,univ2,13608869.67012416907960746683872722,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,1570631537.209871764633656755060911
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",438458.369728629371789056,4361.135330649330542112128065222262,0.0002292980896447232576810948236497182,16528571,435765322.417323549583110062,18620749.366816544157028949,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",67296,4269.702257564223781028,1636037244,univ2,13628177.57590064880001136013076373,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,1570668250.977085656629742661621083
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",438474.87417889624427074,4386.848796939376168552432954329997,0.0002279540613977125522970157832329058,16529571,435837629.082891908636206935,18680209.224232009836852304,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",67311,4258.229560422699936514,1636037244,uniswapv2,13384436.9785045850578230136702722,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,1570694338.718356861171126740187261
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",438489.663749215657834803,4417.527103959538894646290890257963,0.0002263709936501974704404902403418641,16530571,435902931.028966963836629051,18745511.17030706503727442,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",67324,4243.439990103286372451,1636037244,uniswapv2,13422194.29942037180244336033592162,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,1570717736.302178395733798026134551
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",438594.368665951272260407,4341.056986112393178293492150345107,0.0002303586438047531449464840839601755,16532571,436358695.322934774344791291,18580101.695817248329829618,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",67378,4280.087028402855374388,1636037244,univ2,13480825.84918645511813588921073843,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,1570883055.206876438780580295552667
