totalValueLockedUSD,inputTokenWeights,fees,cumulativeVolumeUSD,id,rewardTokenEmissionsUSD,blockNumber,exchange,inputTokens,inputTokenBalances
1672239.11309385543795031665273813,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",72119311.35143089527368921870410988,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12418571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '4281.700574419418689054118962730511'}]","['1433224941060', '55834252700286244708']"
1188150.818238239246721530209250529,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",73324192.38492215053408967494160866,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12420571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '4196.949272756256323663840914706007'}]","['987389112159', '47817929028010111296']"
1176250.054270687372666249547633005,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",74470482.84745677346845096039798387,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12422571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '3969.665992439448904294669122781791'}]","['897944219432', '69846330083510597807']"
1178930.289882866801769723632507071,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",77424777.99327892642993266188386052,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12424571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '4001.466077315998704217053310913592'}]","['907442090037', '67847182657604516777']"
1321137.636191038141343256995468624,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",82271956.11886237687283780510920116,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12426571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '3877.840130946775314632295317516022'}]","['927838603562', '101422188472997755310']"
1185716.806734421116189209828691001,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",88824239.75181178827807941104076777,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12428571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '3755.168090658562092426200022000729'}]","['770346592481', '110363118430252611446']"
1169190.865870666216239933470946384,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",90642317.20706781045529852552023548,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12430571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '3785.028975589051950944645822408056'}]","['762971563092', '107083144880207903247']"
1187633.443224894997906896526445861,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",92056475.98286000842160714161546802,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12432571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '3985.258476540775654199883231675996'}]","['878536134693', '77560165884194545895']"
1193643.204952770684684018963173109,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",93255576.42239613186376798644810869,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12434571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '4058.719491418419716245741333520143'}]","['913631190750', '68990235662951315266']"
1192849.772023574719295645264024178,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",94144060.35089539562733589946063961,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12436571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '4041.107821810871098202847422176416'}]","['902160808114', '71932988855346440316']"
1176229.74847967733002029426603929,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",95402833.73734456391999732045496759,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12438571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '3839.148417067530642039506717376207'}]","['791219256130', '100285388977944530795']"
1167715.729162107526734915293486466,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",97515185.45025558093826058338613929,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12440571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '3749.280730794561847801251620337597'}]","['749568086740', '111527429511391131883']"
1176627.932282744373222125690112495,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",100480094.0003600398592474526759277,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12442571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '3817.469743485613135899625538808083'}]","['776268361654', '104872445826301180860']"
1186869.094169859933847965610284469,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",101867990.7097925935260956998467594,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12444571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '3811.616559656025261472010634882685'}]","['800971736358', '101238237616032900532']"
1171091.041788371989882629828169555,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",105221051.2067952166159020986063191,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12446571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '3662.939625223990700795736061401607'}]","['705641955826', '127069821942235679469']"
1162755.391041808330732626445069026,"['50', '50']","[{'feeType': 'FIXED_LP_FEE', 'feePercentage': '0.05'}, {'feeType': 'FIXED_PROTOCOL_FEE', 'feePercentage': '0'}, {'feeType': 'FIXED_TRADING_FEE', 'feePercentage': '0.05'}]",117817081.4518937656485484722438353,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,12448571,uniswapv3,"[{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': 6, 'lastPriceUSD': '1'}, {'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': 18, 'lastPriceUSD': '3571.242810843456066274955203274425'}]","['504604080876', '184291952417081986509']"
