token0,token1Price,token0Price,volumeToken1,volumeToken0,blockNumber,reserve0,token1,txCount,reserve1,createdAtTimestamp,exchange,reserveUSD,id,volumeUSD
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004865946160901115405391550602426887,205.509877613362635998107052312003,4.091406611459537967,828.25096713109619723,10088571,373.360124385468186347,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",64,1.816750263887031841,1589164213,univ2,742.2416676876516532690089261095789,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004865946160901115405391550602426887,205.509877613362635998107052312003,4.091406611459537967,828.25096713109619723,10090571,373.360124385468186347,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",64,1.816750263887031841,1589164213,univ2,742.2416676876516532690089261095789,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004696552042750318808014308978870691,212.9221588300331453213813141283551,38.545391817776566688,8301.84254967346871614,10092571,28544.655428136100114779,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",135,134.061459760616577084,1589164213,univ2,57246.55548083371364364856896310378,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004798927527920480231870199884356184,208.3798920033556132283853959599326,62.626709712777000337,13376.993124198977883618,10094571,33400.441254455978868866,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",208,160.286296980699654314,1589164213,univ2,67037.97940885446370577231899298786,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004736488621845938690717720347243336,211.1268663008574374755406945738201,104.328498926156668311,22260.116178240874169628,10096571,79237.416613000085124145,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",310,375.307122211941260328,1589164213,univ2,158973.1021967633290048450453535951,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004718354291680280563484695889120049,211.9383026754195241571306532037059,256.315815996235910649,54451.631908340877462481,10098571,386830.462183818352000805,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",496,1825.203171397685796715,1589164213,univ2,773334.816489205899632816211583248,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,16200.5462212120770992393883099791
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004740097716719814527101829163068566,210.9661149964663567495342452174468,466.246285500685852385,98716.474963437224763033,10100571,526406.200257870796758889,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",649,2495.216827909486804842,1589164213,univ2,1054150.685145230505648501746644292,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,60514.78224195087438725560628682326
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004689534954635309497908200688704447,213.2407604748874038415230877945714,505.479951412583486151,107063.659075974040897586,10101571,529771.365675668173327459,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",700,2484.381337300930506458,1589164213,univ2,1057475.470836139660238690266292756,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,68867.10508729471608714938846133199
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004679219498652036623828855956549478,213.7108550449651711553247766587169,576.029701276667383854,122070.481938506860001012,10102571,552714.200970471635845015,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",754,2586.271066362911302245,1589164213,univ2,1107344.225153982986587194203715448,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,83900.71656554481784495835758225088
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004809484716920891234355639803186344,207.922482107442049890025944201083,776.951120105338869795,164281.328564300517569494,10104571,545160.650544237718069337,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",866,2621.941817059162051327,1589164213,univ2,1093417.76017386695497265000548506,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,126165.3532241999994716513259878628
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.00477369772666335815709610771110165,209.4812150368313721016097058565439,1104.281128766868704344,232610.598508178854494039,10106571,571664.006825838000911337,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",1002,2728.951169799769325041,1589164213,univ2,1145664.217496836499381251222418476,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,194681.565768853638796575835662376
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004854519152723136834305523131676775,205.9936254323049010844164725955955,1259.983984726152172707,264890.168867855718400691,10108571,570539.580105374573472812,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",1082,2769.695319008157230861,1589164213,univ2,1143356.742961859402189273910837432,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,227033.7090349431212212847173823375
